G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-31553.6753,-983.1564,375.567,7.34481,-1.17977,1.04387,-0.47581,0.46946,-2.33726,349.3364,552.3091431,11.094,14.548
-18707.7356,-6.7036,115.599,2.01072,-0.76612,0.38351,-0.44739,0.38527,-0.76612,88.106,259.8746643,13.181,17.059
-22563.7361,94.8786,183.196,2.44117,-0.75199,0.37849,-0.43934,0.35901,-1.16861,149.2074,337.9596558,12.998,15.16
-18781.6148,-17.6028,112.06,5.18649,-0.76378,0.04452,-0.38467,0.47084,-0.29294,89.0938,252.7227478,11.411,17.387
-20265.1927,-11.4708,173.685,1.85525,-0.38323,-0.06568,-0.38323,0.21056,-0.38323,128.2138,322.7430725,15.34,16.488
-21707.1809,-205.6481,172.551,8.21621,0,0.65122,-0.56822,0.30322,-1.23978,132.2232,339.4888916,12.639,14.222
-28018.4958,82.267,364.43,3.81394,-0.72592,-0.01707,-0.38395,0.28891,-0.72592,288.429,496.0800476,12.789,15.312
-27065.1416,40.8176,336.249,4.72827,-0.50982,0.35191,-0.50982,0.50914,-1.29952,268.3578,527.4960327,12.295,14.818
-22517.3652,-13.5565,211.614,4.0809,0,-0.17201,-0.36968,0.24763,-0.74126,173.217,385.3661804,12.014,14.276
-30558.1716,18.7521,390.715,2.06551,-1.05534,0.1914,-0.40548,0.38837,-1.19499,428.1196,567.260437,11.675,15.245
-18107.6415,-18.0693,95.6045,3.78682,-0.73251,0.50258,-0.42382,0.37364,-0.92875,94.4975,222.8913269,12.569,17.309
-24595.7866,830.5752,204.225,2.6617,-1.67046,1.39077,-0.44346,0.37314,-2.41829,176.1718,386.9068298,12.394,16.078
-24800.9253,-851.3269,203.368,5.54967,-0.28523,0.27444,-0.28523,0.1973,-0.52106,211.4749,351.4087219,11.46,15.041
-27939.7015,-431.9484,297.654,3.65416,-0.97586,0.89105,-0.3945,0.49456,-1.47922,286.114,475.6845703,11.511,15.396
-24802.8695,27.4587,257.818,5.90076,0,0.14554,-0.39152,0.23321,-0.68516,253.1411,421.462738,12.061,14.098
-25305.3078,-16.6296,297.161,0.692647,0,-0.81416,-0.07298,0.07206,0,252.3148,458.2511292,10.997,13.958
-27478.5811,68.2436,293.977,1.89059,-1.19565,0.81515,-0.45311,0.43647,-1.59058,235.2822,488.8417358,11.713,15.209
-21897.9015,-262.8559,177.102,8.1299,0,0.08476,-0.56082,0.29945,-1.12536,152.2136,337.3738098,12.089,13.982
-25754.448,-487.4321,226.037,4.4674,-0.2778,0.36774,-0.2778,0.19435,-0.53501,245.92,371.6450806,11.152,15.214
-27024.194,39.545,318.572,1.92157,-1.18138,0.90891,-0.44186,0.4365,-1.59721,261.32,504.3084106,11.708,15.211
-25783.8129,-62.0678,274.906,5.65947,-0.63803,0.7585,-0.47829,0.50597,-1.16931,218.3134,446.6631165,12.568,15.146
-27217.9264,260.6614,303.537,0.683305,-0.7773,-0.07706,-0.46152,0.44936,-1.1469,253.3,513.734375,11.862,14.051
-28903.0744,-208.6249,333.542,5.64021,-3.16286,-0.78088,-0.79724,1.90594,-1.05002,327.3724,526.576416,10.472,14.474
-27180.4909,-1090.7804,267.748,9.01368,-1.57657,-0.36381,-0.79648,1.91068,-0.96898,249.2868,445.4780273,10.765,14.401
-16213.0719,5.4739,97.2087,1.33496,0,0.44538,-0.41055,0.14857,-0.41055,59.1108,231.6235657,15.229,15.534
-18992.9355,19.5481,135.828,2.54645,0,-0.22504,-0.39994,0.19745,-0.79971,108.1426,280.3762817,12.637,13.332
-23378.6766,73.4482,212.551,4.32356,-0.83401,0.55539,-0.53455,0.50337,-1.56269,180.206,399.1862183,12.31,14.13
-26664.115,67.6079,281.456,2.30208,-1.18755,0.94444,-0.44723,0.43662,-1.6141,233.2664,462.1484375,11.71,15.211
-25673.9083,-1377.4925,227.099,2.50335,-0.43274,-0.05191,-0.21658,0.09455,-0.54082,218.6391,391.8879089,11.556,14.096
-19787.6833,132.2303,115.44,8.4877,-0.91803,0.88797,-0.50038,0.50001,-1.65067,102.0926,263.699646,12.97,16.24
-32531.7173,26.146,414.576,1.76081,-0.39429,-0.11582,-0.39429,0.21249,-0.39429,270.4976,703.4942627,15.474,16.569
-17761.3976,-5.7378,118.516,0.00460291,0,0.23921,-0.3679,0.13581,-0.73558,86.1364,258.3045959,15.212,14.947
-23542.6363,214.6412,189.81,3.64549,0,-0.17014,-0.05051,0.09342,-0.10801,314.8017,325.346344,11.606,15.493
-18635.5793,88.4582,112.988,2.80946,-0.32008,0.02868,-0.32008,0.23255,-0.62016,95.1006,249.175705,12.074,15.139
-30591.8557,-208.2405,395.854,8.4007,-1.45063,1.77639,-0.4784,0.4704,-2.58241,361.3721,564.1416016,11.206,14.448
-18455.5897,-308.5729,88.3793,2.8582,-0.86699,0.73385,-0.5269,0.50734,-1.22565,75.067,226.4566956,13.773,16.354
-36867.088,-90.268,607.368,3.39663,-0.73918,-0.49211,-0.37902,0.21095,-1.11642,471.6814,850.286499,12.247,14.86
-25062.7357,719.1812,250.16,7.20439,-0.61106,0.3501,-0.44951,0.39827,-1.06057,223.2306,424.4527893,11.072,15.021
-32751.1315,-120.978,408.038,5.80795,-1.48404,0.72846,-0.42106,0.42538,-2.26457,372.8073,612.8497314,11.42,14.097
-27360.8708,23.8567,325.74,2.4482,-1.20044,0.52417,-0.42846,0.52815,-1.34278,295.297,506.9263916,10.703,15.024
-25527.5761,35.6552,313.492,0.268027,0,-0.81996,-0.06121,0.06977,0,276.3368,460.6960754,10.921,13.448
-27401.4196,377.5132,298.626,4.42866,-1.9271,-0.73519,-0.78038,1.94422,-0.27373,281.3438,486.0562134,10.462,15.143
-29561.4675,16.4996,432.361,5.85004,-0.74304,0.07475,-0.38799,0.30078,-0.74304,340.5046,552.105896,11.531,14.943
-16004.4556,-39.8553,68.8962,0.151016,0,0.14203,-0.2883,0.14233,-0.55022,46.0718,197.1527557,14.786,14.864
-29887.7863,144.6126,385.322,2.92547,-1.12243,0.40823,-0.40097,0.39377,-1.54121,324.3786,596.2441406,11.772,14.497
-29093.6743,237.3272,322.825,3.10963,-1.72613,0.64799,-0.39091,0.67144,-1.3729,328.2039,507.5221863,10.672,15.706
-30447.1654,-71.0099,359.57,2.64609,-1.38039,0.68396,-0.51454,0.5096,-1.76637,301.3414,602.6848755,12.173,14.268
-24578.8891,74.4611,262.21,0.185741,0,-0.72583,-0.10019,0.08464,0,216.2818,425.7159424,11.444,13.938
-31249.0677,-338.3682,390.244,8.29407,-0.78914,0.75875,-0.41891,0.36315,-1.36366,311.8509,569.6134644,11.998,15.099
-26985.2563,-133.601,282.721,3.91033,0,-0.18071,-0.08069,0.10435,-0.27073,291.9914,442.2168274,11.089,14.872
-27983.135,78.8601,327.205,1.76103,-0.39427,-0.04257,-0.39427,0.21247,-0.39427,214.3904,577.6259766,15.481,16.654
-27938.5305,87.2884,312.659,4.10287,-0.75392,0.53129,-0.45457,0.2957,-1.13566,253.3586,524.4295654,12.398,14.546
-32135.7449,921.6984,405.777,7.86387,-1.50513,0.75868,-0.56823,0.96374,-1.52687,345.3927,605.788147,10.426,14.574
-20310.1005,16.9747,140.017,2.59346,-0.32444,-0.11883,-0.32444,0.23434,-0.44278,128.5579,282.5514526,11.994,15.071
-19485.6499,-28.3436,143.8,2.49518,0,0.0134,-0.30206,0.0904,-0.30206,107.1548,290.56604,12.127,15.095
-28966.3991,-86.4111,298.369,2.20292,-1.24361,0.8553,-0.58853,1.08085,-1.12993,322.53,459.7139282,9.746,15.074
-17629.1216,-45.5306,92.8374,4.14116,-0.50154,0.26673,-0.50154,0.41428,-0.87458,71.0786,229.4373322,12.542,15.912
